test,time_window,time_leap,pattern,frequency,length,size
itsecurity, 360000, 360000, 011223, 687, 3, 4
itsecurity, 360000, 360000, 011002, 168, 3, 3
itsecurity, 360000, 360000, 01122334, 92, 4, 5
itsecurity, 360000, 360000, 0112211334, 81, 5, 5
itsecurity, 360000, 360000, 01100223, 80, 4, 4
itsecurity, 360000, 360000, 0112211223, 46, 5, 4
itsecurity, 360000, 360000, 0110011223, 41, 5, 4
itsecurity, 360000, 360000, 011221, 32, 3, 3
itsecurity, 360000, 360000, 01100112, 31, 4, 3
itsecurity, 360000, 360000, 0112211003, 30, 5, 4
itsecurity, 360000, 360000, 01122113, 25, 4, 4
itsecurity, 360000, 360000, 0110, 16, 2, 2
itsecurity, 360000, 360000, 0110011002, 15, 5, 3
itsecurity, 360000, 360000, 0110022334, 11, 5, 5
itsecurity, 360000, 360000, 011001, 9, 3, 2
itsecurity, 360000, 360000, 0112211331, 7, 5, 4
itsecurity, 360000, 360000, 011221133445, 4, 6, 6
itsecurity, 360000, 360000, 011221122334, 3, 6, 5
itsecurity, 360000, 360000, 0112211221, 3, 5, 3
itsecurity, 360000, 360000, 01122112, 3, 4, 3
itsecurity, 360000, 360000, 01100220, 3, 4, 3
itsecurity, 360000, 360000, 0110011221, 3, 5, 3
itsecurity, 360000, 360000, 011221100334, 2, 6, 5
itsecurity, 360000, 360000, 0112211001, 2, 5, 3
itsecurity, 360000, 360000, 01122110, 2, 4, 3
itsecurity, 360000, 360000, 011001122334, 2, 6, 5
itsecurity, 360000, 360000, 01100110, 2, 4, 2
itsecurity, 360000, 360000, 011001100223, 1, 6, 4
itsecurity, 360000, 360000, 0110011001, 1, 5, 2
itsecurity, 420000, 60000, 01, 6766, 1, 2
itsecurity, 420000, 60000, 0112, 664, 2, 3
itsecurity, 420000, 60000, 011223, 26, 3, 4
itsecurity, 420000, 60000, 0110, 3, 2, 2
itsecurity, 420000, 120000, 01, 6766, 1, 2
itsecurity, 420000, 120000, 0112, 1246, 2, 3
itsecurity, 420000, 120000, 011223, 277, 3, 4
itsecurity, 420000, 120000, 0112211334, 85, 5, 5
itsecurity, 420000, 120000, 011002, 69, 3, 3
itsecurity, 420000, 120000, 0112211223, 48, 5, 4
itsecurity, 420000, 120000, 01100223, 42, 4, 4
itsecurity, 420000, 120000, 0110011223, 40, 5, 4
itsecurity, 420000, 120000, 0112211003, 32, 5, 4
itsecurity, 420000, 120000, 01100112, 23, 4, 3
itsecurity, 420000, 120000, 01122113, 19, 4, 4
itsecurity, 420000, 120000, 011221, 16, 3, 3
itsecurity, 420000, 120000, 0110011002, 16, 5, 3
itsecurity, 420000, 120000, 0110, 12, 2, 2
itsecurity, 420000, 120000, 01122334, 9, 4, 5
itsecurity, 420000, 120000, 0112211331, 7, 5, 4
itsecurity, 420000, 120000, 011001, 5, 3, 2
itsecurity, 420000, 120000, 011221133445, 4, 6, 6
itsecurity, 420000, 120000, 011221122334, 3, 6, 5
itsecurity, 420000, 120000, 0112211221, 3, 5, 3
itsecurity, 420000, 120000, 01122112, 3, 4, 3
itsecurity, 420000, 120000, 01100220, 3, 4, 3
itsecurity, 420000, 120000, 0110011221, 3, 5, 3
itsecurity, 420000, 120000, 011221100334, 2, 6, 5
itsecurity, 420000, 120000, 0112211001, 2, 5, 3
itsecurity, 420000, 120000, 01122110, 2, 4, 3
itsecurity, 420000, 120000, 0110022334, 2, 5, 5
